Origin,Destination,Amount
Santos,Total,229959
Rio,Total,63785
Vitória,Total,4761
Paranaguá,Total,543
Baia,Total,8317
Recife,Total,3465
Total,Total,310830
Total,Ancona,852
Total,Fiume,1761
Total,Gênova,119330
Total,Livorno,1204
Total,Nápoles,50794
Total,Palermo,63
Total,Trieste,133122
Total,Veneza,3704
Santos,Ancona,365
Santos,Fiume,1023
Santos,Gênova,111239
Santos,Livorno,754
Santos,Nápoles,47838
Santos,Palermo,NA
Santos,Trieste,66038
Santos,Veneza,2702
Rio,Ancona,179
Rio,Fiume,738
Rio,Gênova,2256
Rio,Livorno,NA
Rio,Nápoles,1755
Rio,Palermo,63
Rio,Trieste,58669
Rio,Veneza,125
Vitória,Ancona,NA
Vitória,Fiume,NA
Vitória,Gênova,125
Vitória,Livorno,NA
Vitória,Nápoles,NA
Vitória,Palermo,NA
Vitória,Trieste,4636
Vitória,Veneza,NA
Paranaguá,Ancona,NA
Paranaguá,Fiume,NA
Paranaguá,Gênova,480
Paranaguá,Livorno,NA
Paranaguá,Nápoles,NA
Paranaguá,Palermo,NA
Paranaguá,Trieste,63
Paranaguá,Veneza,NA
Baia,Ancona,308
Baia,Fiume,NA
Baia,Gênova,5230
Baia,Livorno,450
Baia,Nápoles,1201
Baia,Palermo,NA
Baia,Trieste,251
Baia,Veneza,877
Recife,Ancona,NA
Recife,Fiume,NA
Recife,Gênova,NA
Recife,Livorno,NA
Recife,Nápoles,NA
Recife,Palermo,NA
Recife,Trieste,3465
Recife,Veneza,NA
