name,value,colour
NUTE GUNRAY,20,#808080
QUI-GON,84,#4f4fb1
TC-14,5,#808080
PK-4,2,#808080
OBI-WAN,55,#48D1CC
YODA,9,#9ACD32
DOFINE,3,#808080
RUNE,17,#808080
TEY HOW,4,#808080
VALORUM,6,#808080
RABE,15,#808080
EMPEROR,19,#191970
CAPTAIN PANAKA,34,#808080
SIO BIBBLE,11,#808080
JAR JAR,60,#9a9a00
TARPALS,3,#808080
BOSS NASS,6,#808080
PADME,52,#DDA0DD
RIC OLIE,14,#808080
R2-D2,39,#bde0f6
ANAKIN,62,#ce3b59
WATTO,16,#808080
SEBULBA,11,#808080
JIRA,3,#808080
C-3PO,6,#FFD700
SHMI,16,#808080
DARTH MAUL,18,#808080
KITSTER,11,#808080
WALD,3,#808080
GREEDO,3,#808080
FODE/BEED,11,#808080
JABBA,5,#808080
MACE WINDU,5,#808080
KI-ADI-MUNDI,4,#808080
BAIL ORGANA,3,#808080
GENERAL CEEL,5,#808080
BRAVO TWO,5,#808080
BRAVO THREE,3,#808080
